,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,HF,1180.00_50_29,18.94,53.03,63.23,1.30,1.82,0.02,0.06,6.07
Ore,HF,1180.00_50_28,59.49,166.56,62.92,1.51,1.92,0.02,0.06,6.15
Ore,HF,1180.00_50_27,53.97,151.12,62.03,2.27,2.23,0.03,0.06,6.51
Ore,HF,1180.00_50_26,48.84,136.77,61.58,2.56,2.50,0.03,0.05,6.75
Ore,HF,1180.00_50_25,43.72,122.41,61.28,2.11,3.68,0.03,0.05,6.42
Ore,HF,1180.00_50_24,38.59,108.05,61.24,1.70,4.45,0.02,0.06,6.04
Ore,HF,1180.00_50_23,24.54,68.70,61.58,1.77,3.35,0.06,0.06,5.99
Ore,HF,1180.00_50_22,16.62,46.53,61.72,1.82,2.61,0.09,0.06,6.08
Ore,HF,1180.00_49_29,11.10,31.07,63.00,1.57,2.22,0.02,0.08,5.59
Ore,HF,1180.00_49_28,57.43,160.79,62.78,1.75,2.23,0.02,0.08,5.63
Ore,HF,1180.00_49_27,51.99,145.56,62.39,1.89,2.55,0.03,0.07,5.91
Ore,HF,1180.00_49_26,46.16,129.26,61.97,2.13,2.97,0.03,0.06,6.10
Ore,HF,1180.00_49_25,39.87,111.64,61.25,1.93,4.11,0.03,0.06,6.19
Ore,HF,1180.00_49_24,33.11,92.71,61.23,1.78,4.28,0.02,0.05,5.99
Ore,HF,1180.00_49_23,26.01,72.83,61.55,1.87,3.24,0.06,0.06,5.85
Ore,HF,1180.00_49_22,5.81,16.27,61.16,1.75,3.18,0.10,0.06,6.16
Ore,HF,1180.00_48_28,38.01,106.42,62.85,1.74,2.94,0.02,0.08,5.05
Ore,HF,1180.00_48_27,44.20,123.77,62.40,1.56,2.97,0.03,0.07,5.99
Ore,HF,1180.00_48_26,37.06,103.78,61.89,1.51,3.26,0.03,0.06,6.62
Ore,HF,1180.00_48_25,29.92,83.78,61.49,1.41,3.89,0.03,0.06,6.55
Ore,HF,1180.00_48_24,22.78,63.79,61.39,1.63,3.96,0.03,0.06,6.23
Ore,HF,1180.00_48_23,12.86,36.01,61.72,1.87,3.15,0.05,0.06,5.81
Ore,HF,1180.00_47_28,45.11,126.31,63.09,1.55,2.78,0.02,0.06,5.02
Ore,HF,1180.00_47_27,32.66,91.44,62.53,1.55,3.00,0.02,0.06,5.75
Ore,HF,1180.00_47_26,21.11,59.11,61.93,1.52,3.26,0.02,0.06,6.58
Ore,HF,1180.00_47_25,8.88,24.87,61.21,1.31,4.42,0.04,0.06,6.54
Ore,HF,1180.00_47_24,12.50,35.00,60.85,1.51,4.48,0.04,0.06,6.76
Ore,HF,1180.00_47_23,6.11,17.10,60.65,1.81,4.04,0.05,0.06,7.05
Ore,HF,1180.00_46_28,41.14,115.19,64.44,1.18,1.94,0.02,0.06,4.39
Ore,HF,1180.00_46_27,19.37,54.24,63.03,1.35,2.79,0.04,0.06,5.31
Ore,HF,1180.00_46_26,9.67,27.09,62.95,1.45,2.91,0.02,0.06,5.47
Ore,HF,1180.00_46_25,5.74,16.08,61.02,1.26,5.30,0.03,0.06,6.06
Ore,HF,1180.00_46_24,2.68,7.50,60.44,1.46,5.27,0.04,0.06,6.70
Ore,HF,1180.00_46_23,0.06,0.16,60.26,1.87,4.41,0.05,0.06,7.42
Ore,HF,1180.00_46_18,3.31,9.27,61.05,2.10,3.29,0.08,0.07,6.57
Ore,HF,1180.00_46_17,0.28,0.78,61.07,2.18,3.39,0.09,0.07,6.33
Ore,HF,1180.00_45_28,46.12,129.14,64.51,1.10,1.71,0.02,0.07,4.51
Ore,HF,1180.00_45_27,0.91,2.56,63.53,1.28,2.43,0.03,0.07,5.09
Ore,HF,1180.00_45_26,0.76,2.12,62.71,1.52,3.11,0.02,0.06,5.56
Ore,HF,1180.00_45_25,0.45,1.26,61.18,1.50,4.75,0.02,0.07,6.13
Ore,HF,1180.00_45_18,0.04,0.12,61.18,2.01,3.34,0.08,0.07,6.45
Ore,HF,1180.00_45_17,0.09,0.25,61.17,2.15,3.35,0.09,0.07,6.24
Ore,HF,1180.00_45_16,7.18,20.11,60.99,2.20,3.52,0.09,0.07,6.33
Ore,HF,1180.00_44_28,39.27,109.95,63.40,1.15,1.95,0.04,0.09,5.51
Ore,HF,1180.00_44_27,0.04,0.11,62.87,1.24,2.03,0.05,0.09,5.95
Ore,HF,1180.00_43_28,27.09,75.85,62.93,1.09,2.18,0.04,0.10,5.88
Ore,HF,1180.00_43_27,0.41,1.14,62.33,1.22,2.31,0.05,0.09,6.25
Ore,HF,1180.00_42_28,15.10,42.28,63.54,0.90,2.21,0.02,0.12,5.50
Ore,HF,1180.00_42_27,0.89,2.48,63.14,0.99,2.26,0.03,0.11,5.76
Ore,HF,1180.00_41_28,5.80,16.24,62.57,0.88,2.72,0.01,0.13,6.43
Ore,HF,1180.00_41_27,1.32,3.70,62.36,0.93,2.79,0.02,0.12,6.57
Ore,HF,1180.00_40_28,1.84,5.16,61.61,0.95,3.37,0.01,0.14,6.97
Ore,HF,1180.00_40_27,0.11,0.30,61.44,0.99,3.37,0.01,0.14,7.18
Ore,HF,1180.00_39_28,30.57,85.60,61.91,0.94,3.35,0.02,0.11,6.53
Ore,HF,1180.00_38_24,0.04,0.11,60.83,1.51,2.66,0.03,0.09,8.39
Ore,HF,1180.00_37_24,1.19,3.34,60.82,1.53,2.71,0.03,0.09,8.34
Ore,HF,1180.00_36_27,107.10,299.87,62.05,1.01,3.55,0.02,0.08,6.07
Ore,HF,1180.00_36_26,250.00,700.00,61.79,1.11,3.49,0.02,0.08,6.46
Ore,HF,1180.00_36_25,241.47,676.11,61.45,1.25,3.28,0.02,0.09,7.10
Ore,HF,1180.00_35_27,112.24,314.28,61.79,0.70,3.60,0.01,0.14,6.58
Ore,HF,1180.00_35_26,125.00,350.00,61.82,1.01,3.72,0.01,0.08,6.24
Ore,HF,1180.00_20_22,201.22,563.41,61.70,2.27,1.18,0.12,0.11,7.65
Ore,HF,1180.00_20_21,250.00,700.00,61.68,2.27,1.20,0.12,0.11,7.63
Ore,HF,1180.00_19_22,60.57,169.59,61.80,2.21,1.07,0.13,0.10,7.67
Ore,HF,1180.00_19_21,373.41,"1,045.54",61.76,2.24,1.12,0.13,0.11,7.66
Ore,HF,1180.00_18_21,190.03,532.10,61.82,2.21,1.05,0.13,0.10,7.68
Ore,HF,1177.25_44_28,3.71,10.37,63.18,1.34,2.59,0.04,0.08,4.87
Ore,HF,1176.45_46_18,87.88,246.06,60.92,2.02,3.30,0.08,0.07,6.79
Ore,HF,1176.38_46_17,9.64,27.00,60.98,2.14,3.37,0.09,0.07,6.49
Ore,HF,1176.16_54_28,0.42,1.18,62.06,1.36,2.48,0.04,0.09,6.76
Ore,HF,1175.00_57_27,31.54,88.30,62.39,2.24,2.33,0.05,0.08,5.51
Ore,HF,1175.00_57_26,90.44,253.22,62.28,2.04,2.70,0.06,0.07,5.49
Ore,HF,1175.00_56_27,223.02,624.45,62.03,1.85,2.56,0.05,0.07,6.30
Ore,HF,1175.00_56_26,347.11,971.90,61.95,1.86,2.81,0.06,0.08,6.15
Ore,HF,1175.00_55_27,252.54,707.11,61.87,1.49,2.72,0.04,0.07,6.70
Ore,HF,1175.00_53_28,58.34,163.34,62.31,1.68,2.27,0.05,0.08,6.51
Ore,HF,1175.00_53_25,500.00,"1,400.00",63.07,1.73,2.42,0.02,0.06,5.46
Ore,HF,1175.00_53_24,250.00,700.00,63.20,1.41,2.51,0.04,0.06,5.34
Ore,HF,1175.00_52_28,119.25,333.90,62.43,1.87,2.29,0.03,0.07,6.57
Ore,HF,1175.00_52_26,375.00,"1,050.00",62.80,2.24,2.00,0.03,0.05,5.93
Ore,HF,1175.00_52_25,500.00,"1,400.00",63.26,1.84,1.95,0.02,0.06,5.64
Ore,HF,1175.00_52_24,375.00,"1,050.00",63.54,1.45,2.06,0.02,0.06,5.36
Ore,HF,1175.00_51_28,156.24,437.48,62.41,1.86,2.14,0.03,0.07,6.58
Ore,HF,1175.00_51_27,500.00,"1,400.00",62.01,2.29,2.01,0.04,0.05,7.01
Ore,HF,1175.00_51_26,500.00,"1,400.00",61.81,2.49,2.13,0.04,0.05,7.02
Ore,HF,1175.00_51_25,500.00,"1,400.00",62.33,2.14,2.28,0.02,0.05,6.36
Ore,HF,1175.00_51_24,125.00,350.00,63.28,1.61,2.20,0.02,0.06,5.47
Ore,HF,1175.00_51_22,0.97,2.71,61.12,1.29,4.00,0.10,0.06,6.27
Ore,HF,1175.00_50_28,184.60,516.87,62.71,1.66,2.07,0.02,0.07,6.16
Ore,HF,1175.00_50_27,500.00,"1,400.00",62.05,2.25,2.23,0.03,0.06,6.50
Ore,HF,1175.00_50_26,500.00,"1,400.00",61.65,2.43,2.62,0.03,0.05,6.67
Ore,HF,1175.00_50_25,500.00,"1,400.00",61.43,2.13,3.49,0.02,0.05,6.39
Ore,HF,1175.00_50_24,250.00,700.00,61.31,1.73,4.33,0.02,0.05,5.99
Ore,HF,1175.00_50_23,250.00,700.00,61.15,1.65,4.06,0.05,0.06,6.07
Ore,HF,1175.00_50_22,260.57,729.60,60.93,1.68,3.80,0.07,0.06,6.36
Ore,HF,1175.00_49_27,250.00,700.00,62.36,1.95,2.63,0.03,0.07,5.89
Ore,HF,1175.00_49_26,500.00,"1,400.00",61.90,2.05,3.10,0.03,0.06,6.15
Ore,HF,1175.00_49_25,500.00,"1,400.00",61.30,1.90,4.05,0.03,0.06,6.19
Ore,HF,1175.00_49_24,125.00,350.00,61.00,1.70,4.64,0.02,0.05,6.13
Ore,HF,1175.00_49_22,125.00,350.00,60.26,1.55,4.70,0.08,0.06,6.41
Ore,HF,1175.00_48_27,500.00,"1,400.00",62.41,1.57,2.97,0.03,0.07,5.95
Ore,HF,1175.00_48_26,500.00,"1,400.00",61.84,1.57,3.33,0.03,0.06,6.53
Ore,HF,1175.00_48_23,375.00,"1,050.00",60.93,1.68,4.11,0.05,0.06,6.20
Ore,HF,1175.00_48_22,250.00,700.00,60.24,1.56,4.63,0.08,0.06,6.57
Ore,HF,1175.00_47_28,116.53,326.28,62.98,1.70,2.84,0.03,0.06,5.02
Ore,HF,1175.00_47_27,500.00,"1,400.00",62.60,1.65,3.00,0.03,0.06,5.56
Ore,HF,1175.00_47_26,250.00,700.00,62.33,1.56,3.04,0.03,0.06,6.11
